time,arg,gbp,jpy,mex,swi,tur,usa
1960,1,1,1,1,1,1,1
1961,0.785558341,0.992161921,0.965309201,0.953038832,0.98581883,0.98714653,0.985125303
1962,0.692766783,0.960931642,0.915812068,0.937949479,0.96795644,0.982097187,0.974646085
1963,0.539874857,0.922199273,0.857717221,0.926836851,0.92791135,0.954037267,0.963888402
1964,0.43573656,0.903142957,0.796680498,0.921363446,0.89705517,0.925301205,0.952325946
1965,0.356586528,0.874884197,0.767232767,0.900314954,0.87024034,0.909952607,0.940024642
1966,0.277228751,0.839136962,0.71977507,0.869298063,0.84150695,0.859060403,0.924598086
1967,0.210158274,0.806862464,0.684980378,0.83413279,0.80314757,0.823151125,0.897746484
1968,0.16265997,0.789184726,0.65877509,0.809704424,0.77209783,0.771084337,0.873501267
1969,0.13997052,0.758831467,0.625203517,0.791237333,0.75391085,0.768,0.83815042
1970,0.130114527,0.721322688,0.594059406,0.76546413,0.73560167,0.711990111,0.795098233
1971,0.114550664,0.67717113,0.551724138,0.727546402,0.70993039,0.665847843,0.750834327
1972,0.085020811,0.618929833,0.518779459,0.691169082,0.66614462,0.575280899,0.720183816
1973,0.05365921,0.577413782,0.494810234,0.658256269,0.62454849,0.515176924,0.697139084
1974,0.03327722,0.528041867,0.4433013,0.58749372,0.57427085,0.446273788,0.65631582
1975,0.026950597,0.456270515,0.359891922,0.4747424,0.52317379,0.385332609,0.591087749
1976,0.009525642,0.371858611,0.321969094,0.412276295,0.4903385,0.323266337,0.541626768
1977,0.001751148,0.321510125,0.294327938,0.3560568,0.4820669,0.275441585,0.512239452
1978,0.00063447,0.279719963,0.272182982,0.27600762,0.47594967,0.216745061,0.481037168
1979,0.000230285,0.260277252,0.261174737,0.234977907,0.47097702,0.149186564,0.446863447
1980,8.87E-05,0.233704994,0.251869874,0.198841479,0.45440206,0.094010119,0.401617089
1981,4.42E-05,0.202957007,0.233618828,0.157355608,0.43683254,0.04472983,0.353818445
1982,2.16E-05,0.181519549,0.222677339,0.123003134,0.41020908,0.032750999,0.320733112
1983,8.16E-06,0.167902644,0.216786286,0.077397279,0.38825257,0.025031779,0.30212062
1984,1.84E-06,0.160013956,0.212798578,0.038361196,0.37706253,0.019049409,0.292717268
1985,2.53E-07,0.153475884,0.208030613,0.02317339,0.36639599,0.012838448,0.280602886
1986,3.28E-08,0.146278959,0.203874314,0.014690097,0.35424542,0.008856532,0.270953902
1987,1.72E-08,0.141564849,0.202652023,0.007887983,0.35164067,0.006578941,0.266009488
1988,7.45E-09,0.137175242,0.202367666,0.003402535,0.34662171,0.004738294,0.256417237
1989,1.68E-09,0.132204358,0.201032464,0.001588769,0.34021052,0.002728384,0.246533492
1990,5.29E-11,0.125621777,0.196557364,0.001323886,0.32977971,0.001671061,0.235181284
1991,2.19E-12,0.117436456,0.190768108,0.001045289,0.3129471,0.001042376,0.223136475
1992,8.07E-13,0.109212737,0.184677339,0.000852173,0.29556942,0.000628053,0.214070659
1993,6.46E-13,0.104750371,0.181577165,0.000737758,0.28408916,0.000369285,0.207777455
1994,5.84E-13,0.102185514,0.179304629,0.000672207,0.27508881,0.000222331,0.201820409
1995,5.61E-13,0.100201524,0.178079548,0.000628432,0.27274752,0.00010779,0.196691785
1996,5.42E-13,0.097605225,0.178299707,4.66E-04,2.68E-01,5.73E-05,0.191324335
1997,5.42E-13,0.095317603,0.17806489,3.46E-04,2.66E-01,3.18E-05,0.185875932
1998,5.39E-13,0.093613831,0.174982637,2.87E-04,2.64E-01,1.71E-05,0.181629986
1999,5.34E-13,0.092175887,0.173829678,2.48E-04,2.64E-01,9.26E-06,0.178853677
2000,5.40E-13,0.090966039,0.174404252,2.12E-04,2.62E-01,5.62E-06,0.175024102
2001,5.45E-13,0.090244086,0.175550624,1.94E-04,2.58E-01,3.63E-06,0.169306852
2002,5.51E-13,0.089147571,0.176859483,1.82E-04,2.56E-01,2.35E-06,0.164653463
2003,4.38E-13,0.088038289,0.178507993,1.74E-04,2.54E-01,1.62E-06,0.162082779
2004,3.86E-13,0.086857033,0.178967119,1.66E-04,2.52E-01,1.29E-06,0.158485019
2005,3.70E-13,0.085708539,0.178982464,1.59E-04,2.50E-01,1.17E-06,0.154352633
2006,3.37E-13,0.08397858,0.179490325,1.53E-04,2.47E-01,1.06E-06,0.14928768
2007,3.04E-13,0.082066432,0.17904387,1.47E-04,2.45E-01,9.69E-07,0.144622247
2008,2.79E-13,0.080205661,0.178936437,1.42E-04,2.43E-01,8.91E-07,0.140611074
2009,2.57E-13,0.077418591,0.17650059,1.35E-04,2.37E-01,8.07E-07,0.135412454
2010,2.42E-13,0.075774289,0.1789211,1.28E-04,2.39E-01,7.59E-07,0.135895626
2011,2.18E-13,0.07335362,0.180218637,1.23E-04,2.37E-01,6.99E-07,0.133702841
2012,2.00E-13,0.070221731,0.180702257,1.19E-04,2.36E-01,6.57E-07,0.12961122
2013,1.81E-13,0.068289148,0.180796161,1.14E-04,2.38E-01,6.03E-07,0.126983503
2014,1.64E-13,0.066584582,0.180171973,1.10E-04,2.38E-01,5.61E-07,0.125150261
2015,,0.065626436,0.175329454,1.06E-04,2.39E-01,5.16E-07,0.123152454
2016,,0.065600196,0.17395604,1.03E-04,2.41E-01,4.79E-07,0.123006535
2017,,0.06518198,0.174159225,1.00E-04,2.42E-01,4.44E-07,0.121474039
2018,,0.063473995,0.17334932,9.44E-05,2.41E-01,4.00E-07,0.118940476
