Date,Open,High,Low,Close*,Adj. close**,Volume
2021-04-13,"4,130.10","4,148.00","4,124.43","4,141.59","4,141.59","3,72,84,40,000"
2021-04-12,"4,124.71","4,131.76","4,114.82","4,127.99","4,127.99","3,57,85,00,000"
2021-04-09,"4,096.11","4,129.48","4,095.51","4,128.80","4,128.80","3,63,49,10,000"
2021-04-08,"4,089.95","4,098.19","4,082.54","4,097.17","4,097.17","3,90,19,10,000"
2021-04-07,"4,074.29","4,083.13","4,068.31","4,079.95","4,079.95","4,11,26,40,000"
2021-04-06,"4,075.57","4,086.23","4,068.14","4,073.94","4,073.94","4,02,78,80,000"
2021-04-05,"4,034.44","4,083.42","4,034.44","4,077.91","4,077.91","3,99,97,60,000"
2021-04-01,"3,992.78","4,020.63","3,992.78","4,019.87","4,019.87","4,15,12,40,000"
2021-03-31,"3,967.25","3,994.41","3,966.98","3,972.89","3,972.89","4,56,49,80,000"
2021-03-30,"3,963.34","3,968.01","3,944.35","3,958.55","3,958.55","4,10,35,70,000"
2021-03-29,"3,969.31","3,981.83","3,943.25","3,971.09","3,971.09","4,61,98,40,000"
2021-03-26,"3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,46,78,50,000"
2021-03-25,"3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,94,08,00,000"
2021-03-24,"3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,76,69,90,000"
2021-03-23,"3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,64,53,40,000"
2021-03-22,"3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,31,13,80,000"
2021-03-19,"3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,72,50,50,000"
2021-03-18,"3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,04,31,70,000"
2021-03-17,"3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,54,16,20,000"
2021-03-16,"3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,60,48,70,000"
2021-03-15,"3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,88,21,90,000"
2021-03-12,"3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,46,92,40,000"
2021-03-11,"3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,30,00,10,000"
2021-03-10,"3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,82,72,50,000"
2021-03-09,"3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,49,63,40,000"
2021-03-08,"3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,85,22,40,000"
2021-03-05,"3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,84,25,70,000"
2021-03-04,"3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,14,22,40,000"
2021-03-03,"3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,15,07,90,000"
2021-03-02,"3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,49,36,90,000"
2021-03-01,"3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,07,15,40,000"
2021-02-26,"3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,51,29,50,000"
2021-02-25,"3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,51,30,60,000"
2021-02-24,"3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","5,94,23,50,000"
2021-02-23,"3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,28,06,50,000"
2021-02-22,"3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,87,01,90,000"
2021-02-19,"3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,82,39,40,000"
2021-02-18,"3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,77,34,30,000"
2021-02-17,"3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,71,82,80,000"
2021-02-16,"3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,03,73,60,000"
2021-02-12,"3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,11,92,60,000"
2021-02-11,"3,916.40","3,925.99","3,890.39","3,916.38","3,916.38","4,57,00,80,000"
2021-02-10,"3,920.78","3,931.50","3,884.94","3,909.88","3,909.88","4,81,53,80,000"
2021-02-09,"3,910.49","3,918.35","3,902.64","3,911.23","3,911.23","4,55,46,10,000"
2021-02-08,"3,892.59","3,915.77","3,892.59","3,915.59","3,915.59","4,63,50,30,000"
2021-02-05,"3,878.30","3,894.56","3,874.93","3,886.83","3,886.83","4,83,85,80,000"
2021-02-04,"3,836.66","3,872.42","3,836.66","3,871.74","3,871.74","4,85,66,70,000"
2021-02-03,"3,840.27","3,847.51","3,816.68","3,830.17","3,830.17","4,84,69,00,000"
2021-02-02,"3,791.84","3,843.09","3,791.84","3,826.31","3,826.31","5,49,53,70,000"
2021-02-01,"3,731.17","3,784.32","3,725.62","3,773.86","3,773.86","5,39,28,70,000"
2021-01-29,"3,778.05","3,778.05","3,694.12","3,714.24","3,714.24","6,61,25,70,000"
2021-01-28,"3,755.75","3,830.50","3,755.75","3,787.38","3,787.38","6,93,79,60,000"
2021-01-27,"3,836.83","3,836.83","3,732.48","3,750.77","3,750.77","9,87,80,40,000"
2021-01-26,"3,862.96","3,870.90","3,847.78","3,849.62","3,849.62","6,02,90,90,000"
2021-01-25,"3,851.68","3,859.23","3,797.16","3,855.36","3,855.36","6,95,58,60,000"
2021-01-22,"3,844.24","3,852.31","3,830.41","3,841.47","3,841.47","5,08,04,30,000"
2021-01-21,"3,857.46","3,861.45","3,845.05","3,853.07","3,853.07","4,48,44,60,000"
2021-01-20,"3,816.22","3,859.75","3,816.22","3,851.85","3,851.85","4,55,17,90,000"
2021-01-19,"3,781.88","3,804.53","3,780.37","3,798.91","3,798.91","4,98,29,40,000"
2021-01-15,"3,788.73","3,788.73","3,749.62","3,768.25","3,768.25","5,35,30,60,000"
2021-01-14,"3,814.98","3,823.60","3,792.86","3,795.54","3,795.54","5,18,01,40,000"
2021-01-13,"3,802.23","3,820.96","3,791.50","3,809.84","3,809.84","4,59,04,20,000"
2021-01-12,"3,801.62","3,810.78","3,776.51","3,801.19","3,801.19","4,97,72,10,000"
2021-01-11,"3,803.14","3,817.86","3,789.02","3,799.61","3,799.61","4,45,05,00,000"
2021-01-08,"3,815.05","3,826.69","3,783.60","3,824.68","3,824.68","4,76,41,80,000"
2021-01-07,"3,764.71","3,811.55","3,764.71","3,803.79","3,803.79","5,08,08,70,000"
2021-01-06,"3,712.20","3,783.04","3,705.34","3,748.14","3,748.14","6,04,99,70,000"
2021-01-05,"3,698.02","3,737.83","3,695.07","3,726.86","3,726.86","4,58,26,20,000"
2021-01-04,"3,764.61","3,769.99","3,662.71","3,700.65","3,700.65","5,00,66,80,000"
2020-12-31,"3,733.27","3,760.20","3,726.88","3,756.07","3,756.07","3,17,25,10,000"
2020-12-30,"3,736.19","3,744.63","3,730.21","3,732.04","3,732.04","3,14,52,00,000"
2020-12-29,"3,750.01","3,756.12","3,723.31","3,727.04","3,727.04","3,38,70,30,000"
2020-12-28,"3,723.03","3,740.51","3,723.03","3,735.36","3,735.36","3,52,74,60,000"
2020-12-24,"3,694.03","3,703.82","3,689.32","3,703.06","3,703.06","1,88,50,90,000"
2020-12-23,"3,693.42","3,711.24","3,689.28","3,690.01","3,690.01","3,77,26,30,000"
2020-12-22,"3,698.08","3,698.26","3,676.16","3,687.26","3,687.26","4,02,39,40,000"
2020-12-21,"3,684.28","3,702.90","3,636.48","3,694.92","3,694.92","4,73,21,60,000"
2020-12-18,"3,722.39","3,726.70","3,685.84","3,709.41","3,709.41","7,06,83,40,000"
2020-12-17,"3,713.65","3,725.12","3,710.87","3,722.48","3,722.48","4,18,49,30,000"
2020-12-16,"3,696.25","3,711.27","3,688.57","3,701.17","3,701.17","4,05,69,50,000"
2020-12-15,"3,666.41","3,695.29","3,659.62","3,694.62","3,694.62","4,36,02,80,000"
2020-12-14,"3,675.27","3,697.61","3,645.84","3,647.49","3,647.49","4,59,49,20,000"
2020-12-11,"3,656.08","3,665.91","3,633.40","3,663.46","3,663.46","4,36,71,50,000"
2020-12-10,"3,659.13","3,678.49","3,645.18","3,668.10","3,668.10","4,61,82,40,000"
2020-12-09,"3,705.98","3,712.39","3,660.54","3,672.82","3,672.82","5,20,99,40,000"
2020-12-08,"3,683.05","3,708.45","3,678.83","3,702.25","3,702.25","4,54,96,70,000"
2020-12-07,"3,694.73","3,697.41","3,678.88","3,691.96","3,691.96","4,78,85,60,000"
2020-12-04,"3,670.94","3,699.20","3,670.94","3,699.12","3,699.12","5,08,63,70,000"
2020-12-03,"3,668.28","3,682.73","3,657.17","3,666.72","3,666.72","5,09,17,60,000"
2020-12-02,"3,653.78","3,670.96","3,644.84","3,669.01","3,669.01","5,02,96,20,000"
2020-12-01,"3,645.87","3,678.45","3,645.87","3,662.45","3,662.45","5,40,36,60,000"
2020-11-30,"3,634.18","3,634.18","3,594.39","3,621.63","3,621.63","6,29,14,00,000"
2020-11-27,"3,638.55","3,644.31","3,629.33","3,638.35","3,638.35","2,77,84,50,000"
2020-11-25,"3,635.50","3,635.50","3,617.76","3,629.65","3,629.65","4,90,25,60,000"
2020-11-24,"3,594.52","3,642.31","3,594.52","3,635.41","3,635.41","6,26,75,70,000"
2020-11-23,"3,566.82","3,589.81","3,552.77","3,577.59","3,577.59","5,03,62,90,000"
2020-11-20,"3,579.31","3,581.23","3,556.85","3,557.54","3,557.54","4,21,89,70,000"
2020-11-19,"3,559.41","3,585.22","3,543.84","3,581.87","3,581.87","4,34,72,00,000"
2020-11-18,"3,612.09","3,619.09","3,567.33","3,567.79","3,567.79","5,27,44,50,000"
2020-11-17,"3,610.31","3,623.11","3,588.68","3,609.53","3,609.53","4,79,95,70,000"
2020-11-16,"3,600.16","3,628.51","3,600.16","3,626.91","3,626.91","5,28,19,80,000"
2020-11-13,"3,552.57","3,593.66","3,552.57","3,585.15","3,585.15","4,70,96,70,000"
2020-11-12,"3,562.67","3,569.02","3,518.58","3,537.01","3,537.01","4,89,01,20,000"
2020-11-11,"3,563.22","3,581.16","3,557.00","3,572.66","3,572.66","4,60,99,70,000"
2020-11-10,"3,543.26","3,557.22","3,511.91","3,545.53","3,545.53","6,02,42,30,000"
2020-11-09,"3,583.04","3,645.99","3,547.48","3,550.50","3,550.50","8,55,66,10,000"
2020-11-06,"3,508.34","3,521.58","3,484.34","3,509.44","3,509.44","4,83,39,50,000"
2020-11-05,"3,485.74","3,529.05","3,485.74","3,510.45","3,510.45","4,84,11,90,000"
2020-11-04,"3,406.46","3,486.25","3,405.17","3,443.44","3,443.44","4,78,30,40,000"
2020-11-03,"3,336.25","3,389.49","3,336.25","3,369.16","3,369.16","4,22,00,70,000"
2020-11-02,"3,296.20","3,330.14","3,279.74","3,310.24","3,310.24","4,31,05,90,000"
2020-10-30,"3,293.59","3,304.93","3,233.94","3,269.96","3,269.96","4,84,04,50,000"
2020-10-29,"3,277.17","3,341.05","3,259.82","3,310.11","3,310.11","4,90,30,70,000"
2020-10-28,"3,342.48","3,342.48","3,268.89","3,271.03","3,271.03","5,12,98,60,000"
2020-10-27,"3,403.15","3,409.51","3,388.71","3,390.68","3,390.68","3,94,69,90,000"
2020-10-26,"3,441.42","3,441.42","3,364.86","3,400.97","3,400.97","3,98,80,80,000"
2020-10-23,"3,464.90","3,466.46","3,440.45","3,465.39","3,465.39","3,64,65,70,000"
2020-10-22,"3,438.50","3,460.53","3,415.34","3,453.49","3,453.49","4,16,36,30,000"
2020-10-21,"3,439.91","3,464.86","3,433.06","3,435.56","3,435.56","4,09,77,50,000"
2020-10-20,"3,439.38","3,476.93","3,435.65","3,443.12","3,443.12","3,90,12,60,000"
2020-10-19,"3,493.66","3,502.42","3,419.93","3,426.92","3,426.92","4,08,62,00,000"
