DATE,BOGMBASE,AMBNS
2009-01-01,1712.0000000000000000,1737.561
2009-02-01,1561.7000000000000000,1582.888
2009-03-01,1647.3000000000000000,1661.594
2009-04-01,1753.2000000000000000,1781.823
2009-05-01,1775.1000000000000000,1797.662
2009-06-01,1683.7000000000000000,1701.768
2009-07-01,1673.6000000000000000,1695.747
2009-08-01,1710.8000000000000000,1727.451
2009-09-01,1801.2000000000000000,1819.668
2009-10-01,1936.3000000000000000,1964.315
2009-11-01,2024.6000000000000000,2046.347
2009-12-01,2026.2000000000000000,2045.522
2010-01-01,1995.0000000000000000,2018.743
2010-02-01,2115.2000000000000000,2141.174
2010-03-01,2079.6000000000000000,2097.924
2010-04-01,2014.4000000000000000,2037.644
2010-05-01,2012.3000000000000000,2032.786
2010-06-01,2002.4000000000000000,2021.411
2010-07-01,1994.3000000000000000,2017.643
2010-08-01,1993.7000000000000000,2013.930
2010-09-01,1961.2000000000000000,1981.158
2010-10-01,1961.7000000000000000,1987.401
2010-11-01,1973.1000000000000000,1992.808
2010-12-01,2017.0000000000000000,2037.414
2011-01-01,2047.9000000000000000,2065.997
2011-02-01,2211.6000000000000000,2233.379
2011-03-01,2395.3000000000000000,2418.235
2011-04-01,2496.6000000000000000,2523.424
2011-05-01,2567.2000000000000000,2588.177
2011-06-01,2648.5000000000000000,2668.010
2011-07-01,2684.8000000000000000,2706.778
2011-08-01,2657.7000000000000000,2679.411
2011-09-01,2637.7000000000000000,2656.543
2011-10-01,2637.8000000000000000,2663.548
2011-11-01,2605.4000000000000000,2625.315
2011-12-01,2619.6000000000000000,2640.078
2012-01-01,2640.8000000000000000,2659.039
2012-02-01,2694.4000000000000000,2720.795
2012-03-01,2655.2000000000000000,2673.317
2012-04-01,2639.8000000000000000,2665.101
2012-05-01,2616.5000000000000000,2632.839
2012-06-01,2618.8000000000000000,2641.487
2012-07-01,2647.8000000000000000,2672.630
2012-08-01,2650.7000000000000000,2668.787
2012-09-01,2594.9000000000000000,2616.571
2012-10-01,2611.8000000000000000,2634.377
2012-11-01,2646.8000000000000000,2667.679
2012-12-01,2675.9000000000000000,2694.343
2013-01-01,2741.7000000000000000,2760.986
2013-02-01,2845.3000000000000000,2861.542
2013-03-01,2935.0000000000000000,2961.377
2013-04-01,3011.7000000000000000,3035.849
2013-05-01,3116.9000000000000000,3136.493
2013-06-01,3201.5000000000000000,3218.136
2013-07-01,3290.9000000000000000,3314.256
2013-08-01,3398.9000000000000000,3418.306
2013-09-01,3486.9000000000000000,3508.905
2013-10-01,3589.5000000000000000,3610.435
2013-11-01,3684.6000000000000000,3705.159
2013-12-01,3717.5000000000000000,3736.862
2014-01-01,3728.5000000000000000,3749.541
2014-02-01,3833.4000000000000000,3851.917
2014-03-01,3885.9000000000000000,3909.651
2014-04-01,3930.7000000000000000,3952.139
2014-05-01,3911.5000000000000000,3929.115
2014-06-01,3948.7000000000000000,3965.744
2014-07-01,3989.1000000000000000,4013.810
2014-08-01,4075.0000000000000000,4095.659
2014-09-01,4049.2000000000000000,4072.006
2014-10-01,4001.5000000000000000,4018.823
2014-11-01,3830.4000000000000000,3851.254
2014-12-01,3934.5000000000000000,3953.015
2015-01-01,4017.1000000000000000,4037.175
2015-02-01,3840.5000000000000000,3849.090
2015-03-01,4030.6000000000000000,4064.785
2015-04-01,4059.4000000000000000,4075.810
2015-05-01,3949.4000000000000000,3955.722
2015-06-01,3919.6000000000000000,3946.095
2015-07-01,3961.2000000000000000,3994.394
2015-08-01,3984.0000000000000000,4001.923
2015-09-01,4028.5000000000000000,4049.583
